Date,Ticker,Full_Article_Sentiment,Summary_Sentiment,change_in_full_sentiment,change_in_summary_sentiment,rolling_avg_full_sentiment,rolling_avg_summary_sentiment,volatility_full_sentiment,volatility_summary_sentiment
2023-08-25,ARE,0.9987,0.2878,-0.0008000000000000229,-0.1266,0.997175,0.6207,0.002539520952200776,0.3182087574742929
2023-08-25,CPT,0.9978,0.5029,-0.0018000000000000238,-0.4546,0.9987,0.7302,0.0012727922061358025,0.3214507427274045
2023-08-25,IIPR,0.9973,0.8449,0.026799999999999935,0.022399999999999975,0.99246,0.80684,0.012337463272488407,0.16043279901566262
2023-08-25,LAND,0.9648,0.34,-0.03490000000000004,0.06680000000000003,0.9822500000000001,0.3066,0.02467802666341058,0.04723473298326141
2023-08-25,MPW,0.9947,-0.34,-0.0010666666666665492,-0.1869666666666667,0.9856733333333333,0.3646033333333333,0.02045992559995171,0.5754137555321002
2023-08-25,O,0.9965,0.9446,-0.0016999999999999238,-0.022199999999999998,0.99832,0.91568,0.0011189280584558918,0.04409441007656181
2023-08-25,RLJ,0.9988,0.077,,,0.9988,0.077,,
2023-08-25,STAG,0.9998,0.9119,0.0019000000000000128,-0.03320000000000001,0.9970800000000001,0.91442,0.0037419246384715107,0.037357957652955284
2023-08-25,SUI,0.9994,0.8405,-0.000300000000000078,-0.13039999999999996,0.9995499999999999,0.9057,0.00021213203435598016,0.09220672426672573
2023-08-25,WPC,0.9999,0.8777,0.0005999999999999339,0.04630000000000001,0.9989800000000001,0.80754,0.0013590437814875506,0.08782905555680308
2023-08-26,AMT,0.9995,0.9165,-0.00029999999999996696,-0.008500000000000063,0.9914333333333333,0.9145666666666666,0.014232474603291348,0.011522297224656829
2023-08-26,SRC,0.9991,0.976,-0.0007000000000000339,0.0049000000000000155,0.99945,0.9735499999999999,0.000494974746830568,0.003464823227814133
2023-08-27,DIR.UN:CA,0.9992,0.4934,,,0.9992,0.4934,,
2023-08-27,MFA,0.9989,0.9456,,,0.9989,0.9456,,
2023-08-27,O,-0.5733,0.8658,-1.5698,-0.07879999999999998,0.68392,0.9045,0.7028082042776679,0.04900020408120761
2023-08-27,STWD,0.9988,0.9761,0.01419999999999999,0.016599999999999948,0.9940666666666668,0.956,0.008198373822492689,0.022059238427470627
2023-08-28,AMT,0.9992,0.8967,-0.000300000000000078,-0.01979999999999993,0.993375,0.9101,0.012252448734844788,0.012973562861964077
2023-08-28,BRSP,0.9985,0.0516,,,0.9985,0.0516,,
2023-08-28,GTY,0.9964,0.1006,,,0.9964,0.1006,,
2023-08-28,PECO,0.9973,0.9226,,,0.9973,0.9226,,
2023-08-28,PMT,0.9986999999999999,0.8149500000000001,,,0.9986999999999999,0.8149500000000001,,
2023-08-29,ADC,0.9997,0.8783,0.0020999999999999908,0.5526,0.99892,0.6984,0.0008408329203830926,0.2940261042832762
